time_stamp,gyroX,gyroY,gyroZ,accelX,accelY,accelZ
29.348,590.0,97.0,88.0,501.0,-1645.0,16940.0
29.749,93.0,23.0,32.0,-51.0,-1693.0,16478.0
30.15,-41.0,-249.0,-11.0,-87.0,-1218.0,16662.0
30.551,-1285.0,611.0,-435.0,-183.0,-2064.0,16411.0
30.952,95.0,62.0,-159.0,-242.0,-2170.0,16298.0
31.353,-824.0,2561.0,1262.0,-1193.0,-2521.0,16278.0
31.754,-601.0,2325.0,625.0,-3540.0,-3227.0,15767.0
32.155,-309.0,2269.0,885.0,-5466.0,-2516.0,15051.0
32.556,310.0,3209.0,951.0,-7439.0,-2457.0,13818.0
32.957,-1741.0,2305.0,-287.0,-9113.0,-3518.0,13640.0
33.358,-1102.0,2144.0,417.0,-10749.0,-3563.0,11905.0
33.759,-1190.0,1305.0,435.0,-11919.0,-4114.0,10390.0
34.16,-761.0,1317.0,-146.0,-12737.0,-4156.0,9908.0
34.561,56.0,3217.0,875.0,-13438.0,-3672.0,8286.0
34.962,57.0,2620.0,1012.0,-14519.0,-3266.0,5651.0
35.363,82.0,1329.0,98.0,-15184.0,-3456.0,3962.0
35.764,2175.0,1437.0,3201.0,-16332.0,-3203.0,1697.0
36.165,-338.0,1232.0,1498.0,-16274.0,-2024.0,415.0
36.566,677.0,884.0,1297.0,-16370.0,-892.0,-548.0
36.967,-216.0,149.0,-64.0,-16814.0,-1045.0,-373.0
37.368,-637.0,196.0,-107.0,-16050.0,-429.0,-941.0
37.769,-57.0,-614.0,11.0,-16346.0,-751.0,-876.0
38.17,-65.0,-81.0,-61.0,-16441.0,-766.0,-786.0
38.571,-171.0,-11.0,-193.0,-16565.0,-1046.0,-666.0
38.972,-522.0,-501.0,-1117.0,-16312.0,-1021.0,-585.0
39.373,109.0,-2502.0,-1951.0,-16611.0,-2146.0,324.0
39.774,-671.0,-1981.0,-636.0,-16427.0,-2484.0,1873.0
40.175,915.0,-4058.0,-1045.0,-14860.0,-2525.0,5722.0
40.576,-1003.0,-3818.0,-1795.0,-13369.0,-4289.0,8877.0
40.977,547.0,-3902.0,-936.0,-11985.0,-5243.0,10867.0
41.378,1336.0,-2726.0,-587.0,-8490.0,-6164.0,12548.0
41.779,1160.0,-2718.0,-841.0,-5695.0,-5588.0,14516.0
42.18,950.0,-2486.0,-819.0,-3446.0,-4598.0,15317.0
42.581,769.0,-1267.0,-428.0,-2147.0,-4255.0,15756.0
42.982,746.0,-1767.0,-738.0,-1275.0,-3874.0,15927.0
43.383,-353.0,-161.0,-85.0,-809.0,-3889.0,15938.0
43.784,-126.0,-222.0,108.0,-640.0,-3640.0,16194.0
44.185,469.0,-306.0,-44.0,-883.0,-3799.0,15976.0
44.586,-25.0,-25.0,-88.0,-693.0,-3786.0,16046.0
44.987,-164.0,237.0,85.0,-394.0,-3788.0,16312.0
45.388,-110.0,-188.0,-84.0,-907.0,-3538.0,15945.0
45.789,-39.0,93.0,83.0,-735.0,-3653.0,15775.0
46.19,114.0,-186.0,-201.0,-682.0,-3574.0,15954.0
46.591,-279.0,118.0,709.0,-415.0,-3073.0,15950.0
46.992,2831.0,-7.0,1023.0,-828.0,-2530.0,16493.0
47.393,1962.0,-1700.0,-43.0,451.0,-3618.0,17004.0
47.794,-120.0,2225.0,4666.0,-614.0,-755.0,15534.0
48.195,3342.0,226.0,-1568.0,-1008.0,-586.0,17400.0
